name,rt,pair,foil,trial,error,first_press
33,1.795124,3,6,14,0,2
33,3.022311,1,10,9,0,1
33,1.850067,2,7,15,0,2
33,2.094907,1,5,1,0,1
33,1.943301,2,7,3,0,1
33,1.823133,2,5,7,0,1
33,2.142596,4,8,4,1,1
33,2.294203,1,5,13,0,2
33,1.950563,4,6,20,0,2
34,2.483735,3,6,14,0,2
34,2.49259,1,5,13,0,2
34,5.05401,3,6,2,0,1
34,2.392888,3,9,10,0,1
34,2.4399,4,8,16,1,2
34,2.298774,2,7,15,1,2
34,3.203808,1,10,21,0,2
34,2.384145,4,6,20,0,2
34,2.145688,2,7,3,0,1
34,2.368658,4,6,8,0,1
34,6.918403,2,5,19,1,2
34,3.734748,1,5,1,1,1
34,2.832272,3,9,22,1,2
34,2.515486,4,8,4,0,1
34,5.690879,2,5,7,1,1
34,3.859634,1,10,9,0,1
35,1.30478,2,5,19,1,2
35,3.07483,2,5,7,1,1
35,1.492122,3,9,22,1,2
35,4.470078,4,6,8,0,1
35,1.456382,1,10,9,0,1
35,2.273407,4,8,4,0,1
35,1.154504,1,5,1,1,1
35,2.563449,2,7,15,0,2
35,2.000997,3,6,14,1,2
35,1.774269,1,10,21,0,2
35,1.820002,2,7,3,0,1
35,1.439519,4,8,16,0,2
35,1.531421,3,6,2,0,1
35,1.490477,1,5,13,1,2
35,1.323277,3,9,10,0,1
35,1.442279,4,6,20,0,2
36,6.5336,4,6,8,0,1
36,4.472754,4,6,20,1,2
36,1.418681,2,5,19,1,2
36,1.677862,2,7,15,0,2
36,2.87936,4,8,4,0,1
36,1.528404,1,5,13,0,2
36,2.313394,1,10,9,1,1
36,1.642074,3,6,2,0,1
36,1.229025,2,5,7,0,1
36,2.168899,3,6,14,0,2
36,1.558905,1,5,1,0,1
36,1.221323,1,10,21,1,2
36,1.289866,3,9,22,0,2
36,2.346406,2,7,3,1,1
36,1.497729,3,9,10,0,1
36,1.531941,4,8,16,0,2
37,2.792002,2,7,3,1,1
37,1.398897,2,5,19,0,2
37,1.418884,3,9,10,0,1
37,1.55096,3,6,2,0,1
37,2.19671,4,8,16,0,2
37,1.602036,1,10,9,0,1
37,3.006358,2,5,7,0,1
37,1.81088,4,6,20,0,2
37,2.406996,4,8,4,0,1
37,1.963528,2,7,15,0,2
37,1.59396,1,5,1,0,1
37,1.269108,3,6,14,0,2
37,1.245787,3,9,22,0,2
37,1.408235,1,10,21,0,2
37,1.365038,1,5,13,1,2
37,1.26049,4,6,8,0,1
38,2.650646,4,5,19,0,2
38,1.500159,3,6,14,1,2
38,1.427681,1,5,1,0,1
38,1.328058,3,9,10,0,1
38,1.034739,1,5,13,0,2
38,1.172767,2,8,16,0,2
38,1.275412,4,5,7,0,1
38,1.757226,2,8,4,1,1
38,1.519348,4,7,15,0,2
38,1.668002,4,7,3,0,1
38,1.365549,1,10,9,1,1
38,1.435469,2,6,20,0,2
38,1.356055,1,10,21,1,2
38,1.970628,3,6,2,0,1
38,1.362485,3,9,22,0,2
38,1.526191,2,6,8,1,1
39,1.210002,4,8,16,0,2
39,1.077473,1,5,1,0,1
39,3.810845,3,9,10,0,1
39,1.467644,3,6,2,0,1
39,1.083421,2,7,3,0,1
39,1.125166,3,6,14,0,2
39,3.461722,2,5,7,0,1
39,2.287724,2,7,15,0,2
39,1.035618,1,5,13,0,2
39,1.588646,1,10,21,0,2
39,1.715691,4,6,8,0,1
39,1.563382,4,8,4,0,1
39,1.454468,1,10,9,0,1
39,1.777904,3,9,22,0,2
39,1.818755,4,6,20,0,2
39,1.366034,2,5,19,0,2
40,2.452767,1,5,1,0,1
40,1.804792,2,7,3,0,1
40,1.648354,4,6,8,0,1
40,3.10729,2,5,7,0,1
40,1.954756,1,10,21,0,2
40,2.506585,3,9,10,1,1
40,1.811197,1,10,9,0,1
40,1.567255,4,8,4,1,1
40,1.42116,4,6,20,1,2
40,6.796574,3,6,14,0,2
40,1.233033,2,5,19,0,2
40,1.034682,2,7,15,0,2
40,2.023229,3,6,2,0,1
40,3.147034,4,8,16,1,2
40,2.154218,3,9,22,1,2
40,1.511873,1,5,13,0,2
41,3.460392,2,5,13,1,2
41,1.502673,1,7,15,0,2
41,1.999836,2,10,21,1,2
41,2.72187,2,5,1,1,1
41,2.697695,4,8,16,0,2
41,2.034903,3,6,14,0,2
41,1.678267,3,9,10,1,1
41,1.743742,3,9,22,1,2
41,1.703485,4,6,20,0,2
41,1.479769,4,6,8,0,1
41,1.769485,2,10,9,1,1
41,1.85515,4,8,4,1,1
41,1.907992,3,6,2,1,1
41,1.940363,1,5,7,0,1
41,1.883623,1,5,19,0,2
41,1.804908,1,7,3,0,1
42,4.068887,3,9,10,0,1
42,1.785021,1,10,9,0,1
42,1.192262,3,9,22,1,2
42,2.317727,1,5,13,1,2
42,1.034613,1,10,21,1,2
42,1.361448,1,5,1,0,1
42,1.286961,4,6,8,1,1
42,1.17663,2,5,7,0,1
42,1.310586,2,7,3,0,1
42,1.343097,4,6,20,1,2
42,1.389903,3,6,2,0,1
42,1.32312,3,6,14,0,2
42,1.699527,2,5,19,0,2
42,1.387728,4,8,16,1,2
42,2.657494,2,7,15,0,2
42,1.404467,4,8,4,1,1
43,5.043312,4,8,4,0,1
43,2.381842,1,5,13,1,2
43,1.474991,1,5,1,0,1
43,2.180353,4,6,20,1,2
43,1.909763,3,6,14,1,2
43,1.089499,2,5,19,1,2
43,3.226728,3,6,2,1,1
43,1.22235,4,6,8,0,1
43,1.703269,4,8,16,0,2
43,1.703454,1,10,9,0,1
43,1.984329,2,5,7,1,1
43,1.948905,3,9,22,1,2
43,1.37995,2,7,3,0,1
43,1.657497,2,7,15,0,2
43,1.506836,1,10,21,0,2
43,1.651156,3,9,10,0,1
44,2.994732,3,9,10,0,1
44,2.144007,2,7,3,1,1
44,2.399828,4,8,4,0,1
44,1.979847,1,10,21,0,2
44,1.809576,2,5,19,1,2
44,1.774094,3,6,14,0,2
44,2.620755,3,6,2,1,1
44,1.368792,4,6,8,0,1
44,1.366531,1,10,9,0,1
44,1.595715,2,7,15,1,2
44,1.793757,1,5,1,1,1
44,1.343102,1,5,13,1,2
44,1.205267,4,8,16,1,2
44,1.160938,4,6,20,0,2
44,1.423645,2,5,7,1,1
44,1.196831,3,9,22,1,2
45,5.588188,4,8,4,1,1
45,2.973404,1,10,21,1,2
45,2.949194,3,9,22,0,2
45,1.907706,2,7,3,1,1
45,1.887546,1,10,9,0,1
45,1.456939,1,5,13,0,2
45,3.227301,2,5,19,1,2
45,3.542035,4,6,20,0,2
45,1.251168,2,7,15,1,2
45,1.245969,3,6,14,0,2
45,3.705215,3,9,10,0,1
45,1.673846,4,6,8,1,1
45,1.610773,2,5,7,0,1
45,1.371943,1,5,1,1,1
45,1.28224,3,6,2,0,1
45,1.251889,4,8,16,0,2
46,2.007512,1,10,9,1,1
46,4.812227,3,6,2,0,1
46,1.408836,1,5,13,0,2
46,1.189179,3,9,10,1,1
46,1.306345,2,5,7,0,1
46,1.210847,4,6,8,1,1
46,1.39102,4,6,20,1,2
46,1.422515,4,8,4,1,1
46,1.442206,1,10,21,0,2
46,1.371697,3,9,22,0,2
46,1.353483,2,7,3,0,1
46,1.311804,2,5,19,0,2
46,1.584669,3,6,14,1,2
46,2.0618,4,8,16,1,2
46,1.464966,1,5,1,0,1
46,1.571636,2,7,15,0,2
47,1.096117,4,8,4,1,1
47,3.053097,4,6,20,0,2
47,2.247208,3,5,1,0,1
47,1.530232,1,9,10,0,1
47,2.010728,4,8,16,0,2
47,1.703591,1,6,2,0,1
47,1.498645,2,7,15,0,2
47,1.790679,2,5,7,0,1
47,1.803571,2,5,19,0,2
47,2.032389,2,7,3,0,1
47,1.987359,1,6,14,0,2
47,1.808188,1,9,22,0,2
47,1.789562,3,10,21,1,2
47,1.810649,3,5,13,0,2
47,1.899519,3,10,9,1,1
47,3.868215,4,6,8,0,1
48,4.885086,2,7,3,0,1
48,1.622505,2,5,19,1,2
48,2.746242,2,5,7,1,1
48,1.665662,2,7,15,0,2
48,1.836469,1,5,1,1,1
48,1.344585,1,5,13,1,2
48,1.319555,4,6,20,1,2
48,1.679213,3,6,14,0,2
48,1.325232,3,9,10,1,1
48,1.317106,3,6,2,0,1
48,1.354211,1,10,21,0,2
48,1.344688,4,6,8,0,1
48,1.33628,4,8,4,1,1
48,1.232678,4,8,16,1,2
48,1.251797,1,10,9,1,1
48,1.342485,3,9,22,0,2
49,3.242096,4,6,20,1,2
49,3.067714,3,6,14,1,2
49,2.853965,2,5,19,1,2
49,1.958896,2,7,3,1,1
49,2.714018,1,5,13,1,2
49,2.027094,4,8,16,1,2
49,1.670989,1,5,1,1,1
49,1.444444,1,10,21,0,2
49,1.440622,2,5,7,1,1
49,1.555742,3,6,2,1,1
49,1.661725,1,10,9,0,1
49,2.168247,4,8,4,1,1
49,1.313894,3,9,22,1,2
49,2.872716,2,7,15,1,2
49,3.066734,4,6,8,1,1
49,1.532917,3,9,10,0,1
50,1.674151,1,8,16,0,2
50,4.248144,2,7,15,1,2
50,1.56593,4,10,21,1,2
50,4.948617,4,5,13,1,2
50,2.404379,3,6,2,0,1
50,3.200868,1,6,8,0,1
50,5.15665,2,7,3,0,1
50,2.491844,1,8,4,0,1
50,1.916853,4,5,1,0,1
50,3.380056,2,5,19,0,2
50,5.609357,2,5,7,0,1
50,1.766752,3,9,22,0,2
50,2.050121,3,9,10,0,1
50,1.612794,1,6,20,0,2
50,1.417383,3,6,14,1,2
50,1.836929,4,10,9,0,1
52,2.02236,2,5,7,1,1
52,1.698504,1,10,21,0,2
52,1.515646,4,6,8,1,1
52,1.34847,3,9,10,1,1
52,1.339171,2,7,15,1,2
52,2.442994,4,6,20,0,2
52,1.517214,1,5,13,1,2
52,1.333176,1,5,1,1,1
52,1.468752,3,6,14,1,2
52,1.431332,1,10,9,0,1
52,1.594579,3,9,22,0,2
52,1.368021,3,6,2,0,1
52,1.341873,2,7,3,0,1
52,1.477353,2,5,19,1,2
52,1.469923,4,8,16,0,2
