name,rt,error,correct_key,trial,pair1,pair2,trial_types
1,1.029649,0,3,75,4,9,4
1,0.759,0,2,128,3,4,5
1,0.736596,0,1,28,2,10,1
1,0.729461,1,2,104,1,2,6
1,0.926378,0,2,21,1,11,2
1,0.836406,0,2,102,1,2,6
1,0.716279,0,2,81,4,11,1
1,0.681482,0,2,61,3,9,8
1,0.856809,0,1,143,4,3,6
1,0.926964,0,2,42,2,10,2
1,1.10417,1,3,134,4,3,7
1,0.792817,1,1,124,3,4,6
1,1.178317,0,3,36,2,12,4
1,0.817807,0,1,136,4,3,6
1,1.016883,0,3,31,2,11,4
1,0.757384,0,2,32,2,11,2
1,0.587497,0,2,6,1,10,2
1,0.71873,0,3,55,3,11,3
1,0.777571,0,2,121,3,4,5
1,0.555731,0,1,83,4,12,2
1,0.661057,1,3,120,2,1,7
1,0.659966,1,1,70,3,12,2
1,1.174055,0,1,101,1,2,5
1,1.496001,0,3,63,3,9,3
1,1.351456,0,3,132,3,4,7
1,0.805436,0,1,17,1,10,1
1,0.666643,0,1,10,1,12,8
1,0.88581,1,3,15,1,9,4
1,1.2799,1,1,46,2,12,1
1,1.291192,1,3,139,4,3,7
1,0.87875,0,1,142,4,3,6
1,1.23718,0,2,18,1,10,2
1,0.765574,1,2,97,1,2,6
1,1.135729,1,3,67,3,11,4
1,0.840832,1,1,118,2,1,5
1,1.131087,0,1,64,3,10,2
1,1.21991,0,3,86,4,9,4
1,1.481021,1,2,54,3,10,8
1,1.707451,0,2,80,4,11,8
1,0.749837,0,2,73,4,9,1
1,1.243239,1,1,100,1,2,5
1,1.064683,0,2,8,1,11,2
1,1.225284,0,3,87,4,9,3
1,0.964764,0,1,125,3,4,6
1,1.090834,0,2,44,2,11,2
1,0.995673,0,3,24,1,12,3
1,1.110123,0,3,51,3,9,4
1,1.543487,0,3,2,1,9,3
1,1.263414,0,1,107,1,2,5
1,1.547595,0,3,99,1,2,7
1,1.238197,0,2,116,2,1,6
1,1.684232,0,3,3,1,9,3
1,1.45173,0,3,14,1,9,4
1,0.96652,0,2,138,4,3,5
1,1.24993,0,1,71,3,12,2
1,0.815383,0,1,119,2,1,5
1,1.066568,0,3,39,2,9,4
1,0.814393,0,2,69,3,11,8
1,1.203595,1,3,38,2,9,4
1,1.090198,0,1,113,2,1,5
1,0.817435,0,1,77,4,10,2
