name,rt,correct_key,error,trial,pair1,pair2,trial_types,validity
50,0.740601,2,0,57,1,11,1,1
50,0.513682,1,0,55,1,11,0,2
50,0.519122,1,0,130,3,4,3,2
50,0.509298,1,0,69,2,11,1,1
50,0.85174,1,0,115,2,1,2,2
50,0.757008,2,0,113,2,1,2,2
50,0.680934,2,0,107,1,2,1,1
50,0.664824,2,0,62,2,9,0,2
50,0.456614,1,0,101,1,2,1,1
50,0.545312,1,0,81,3,11,1,1
50,0.933953,1,0,118,2,1,1,1
50,0.939124,2,0,105,1,2,2,2
50,0.871975,2,0,136,4,3,3,2
50,0.512316,1,0,7,1,11,1,1
50,0.42126,1,0,6,1,10,1,1
50,0.535127,2,0,21,2,11,1,1
50,0.603591,2,0,87,4,9,3,2
50,0.646818,1,0,11,1,12,1,1
50,0.447282,2,0,28,3,10,1,1
50,0.512386,1,0,109,2,1,2,2
50,0.438497,1,0,92,4,11,1,1
50,0.431124,1,0,10,1,12,1,1
50,0.816328,2,0,100,1,2,3,2
50,0.506817,1,0,120,2,1,1,1
50,0.552635,2,0,122,3,4,2,2
50,0.437559,1,0,19,2,11,1,1
50,0.454517,1,0,46,4,12,1,1
50,0.431949,1,0,104,1,2,1,1
50,0.529403,2,0,25,3,9,1,1
50,0.670295,2,0,116,2,1,3,2
50,0.454184,2,0,90,4,10,1,1
50,0.414768,1,0,50,1,9,1,1
50,0.793106,1,0,47,4,12,1,1
50,0.58816,2,0,24,2,12,1,1
50,0.638885,2,0,102,1,2,3,2
50,0.520393,2,0,70,2,12,1,1
50,0.590847,2,0,59,1,12,3,2
50,0.609271,2,0,67,2,11,3,2
50,0.620347,2,0,13,2,9,1,1
50,0.566602,2,0,139,4,3,1,1
50,0.818479,2,0,94,4,12,0,2
50,0.58879,2,0,142,4,3,2,2
50,0.47214,2,0,30,3,10,1,1
50,0.448153,2,0,48,4,12,1,1
50,0.632149,1,0,15,2,9,1,1
50,0.70516,1,0,71,2,12,2,2
50,0.735502,1,0,138,4,3,1,1
50,1.260876,2,0,64,2,10,3,2
50,1.349881,2,0,2,1,9,1,1
50,0.690778,1,0,78,3,10,3,2
50,0.601186,1,0,54,1,10,1,1
50,0.821043,2,0,134,4,3,2,2
50,0.582458,1,0,85,4,9,2,2
50,0.969956,2,0,133,4,3,1,1
50,0.645459,2,0,40,4,10,1,1
50,0.502361,1,0,66,2,10,0,2
50,1.516926,1,0,80,3,11,2,2
50,0.635409,2,0,95,4,12,1,1
50,0.660875,2,0,132,3,4,1,1
50,0.413051,2,0,43,4,11,1,1
50,0.758622,1,0,127,3,4,1,1
50,0.660097,2,0,23,2,12,1,1
50,0.820368,2,0,60,1,12,1,1
50,0.501441,1,0,35,3,12,1,1
50,0.589244,1,0,112,2,1,3,2
50,0.50344,1,0,126,3,4,2,2
50,0.734585,1,0,49,1,9,2,2
50,0.708313,2,0,44,4,11,1,1
50,0.897979,1,0,68,2,11,0,2
50,0.521439,1,0,98,1,2,2,2
50,1.151335,1,0,91,4,11,0,2
50,0.956189,1,0,144,4,3,2,2
50,0.456776,1,0,1,1,9,1,1
50,1.265342,1,0,93,4,11,0,2
50,0.51264,1,0,34,3,12,1,1
50,0.615077,2,0,96,4,12,0,2
50,0.664975,2,0,117,2,1,1,1
50,0.513224,1,0,63,2,9,1,1
50,0.655182,1,0,128,3,4,1,1
50,0.55162,1,0,16,2,10,1,1
50,1.819541,2,0,41,4,10,1,1
50,1.766037,1,0,77,3,10,1,1
50,0.697743,2,0,124,3,4,1,1
50,0.928405,2,0,53,1,10,3,2
50,0.902181,2,0,39,4,9,1,1
50,0.596322,1,0,125,3,4,3,2
50,1.075104,2,0,27,3,9,1,1
50,0.403407,1,0,14,2,9,1,1
50,0.501072,2,0,25,3,9,1,1
50,0.459468,1,0,50,1,9,1,1
50,0.596589,2,0,95,4,12,1,1
50,0.470415,1,0,75,3,9,0,2
50,0.430522,1,0,35,3,12,1,1
50,0.591743,2,0,53,1,10,3,2
50,0.531553,2,0,76,3,10,1,1
50,0.52905,2,0,142,4,3,2,2
50,0.518595,2,0,74,3,9,0,2
50,0.427871,2,0,117,2,1,1,1
50,0.501352,1,0,143,4,3,2,2
50,0.475977,2,0,133,4,3,1,1
50,0.483385,2,0,44,4,11,1,1
50,0.570719,2,0,119,2,1,2,2
50,0.375667,1,0,138,4,3,1,1
50,0.52269,2,0,94,4,12,0,2
50,0.433705,1,0,37,4,9,1,1
50,0.45863,1,0,98,1,2,2,2
50,0.65957,1,0,93,4,11,0,2
50,0.555265,2,0,87,4,9,3,2
50,0.480703,2,0,24,2,12,1,1
50,0.407626,1,0,20,2,11,1,1
50,0.514474,1,0,55,1,11,0,2
50,0.4167,1,0,56,1,11,0,2
50,0.465519,2,0,12,1,12,1,1
50,0.538096,2,0,70,2,12,1,1
50,0.455409,1,0,49,1,9,2,2
50,0.632172,1,0,15,2,9,1,1
50,0.520931,2,0,64,2,10,3,2
50,0.494528,2,0,72,2,12,1,1
50,0.438959,1,0,80,3,11,2,2
50,0.439709,1,0,120,2,1,1,1
50,0.51273,2,0,3,1,9,1,1
50,0.519206,2,0,139,4,3,1,1
50,0.524669,2,0,111,2,1,1,1
50,0.451066,1,0,114,2,1,3,2
50,0.418554,1,0,126,3,4,2,2
50,0.421263,1,0,46,4,12,1,1
50,0.326802,1,1,100,1,2,3,2
50,0.556857,1,0,118,2,1,1,1
50,0.689365,2,0,28,3,10,1,1
50,0.648802,2,0,108,1,2,1,1
50,0.544904,1,0,91,4,11,0,2
50,0.717979,1,0,42,4,10,1,1
50,0.452528,1,0,77,3,10,1,1
50,0.660511,1,0,68,2,11,0,2
50,0.429357,1,0,58,1,12,0,2
50,0.414402,1,0,6,1,10,1,1
50,0.608276,2,0,83,3,12,1,1
50,1.155417,2,0,90,4,10,1,1
50,0.656268,2,0,102,1,2,3,2
50,0.584915,2,0,2,1,9,1,1
50,0.482993,1,0,16,2,10,1,1
50,0.53121,2,0,33,3,11,1,1
50,0.520723,2,0,123,3,4,3,2
50,0.990697,1,0,36,3,12,1,1
50,0.553387,1,0,89,4,10,1,1
50,0.526226,2,0,103,1,2,2,2
50,0.444054,1,0,71,2,12,2,2
50,0.676604,1,0,7,1,11,1,1
50,0.397776,1,0,54,1,10,1,1
50,0.543761,2,0,43,4,11,1,1
50,0.789704,2,0,73,3,9,3,2
50,0.608089,1,0,101,1,2,1,1
50,0.538428,1,0,66,2,10,0,2
50,0.696312,1,0,112,2,1,3,2
50,0.439199,1,0,65,2,10,0,2
50,0.456122,1,0,63,2,9,1,1
50,0.479768,1,0,128,3,4,1,1
50,0.791937,2,0,52,1,10,0,2
50,0.514927,2,0,61,2,9,2,2
50,0.393523,1,0,104,1,2,1,1
50,0.484962,1,0,11,1,12,1,1
50,0.603595,2,0,105,1,2,2,2
50,0.438558,2,0,48,4,12,1,1
50,0.407257,1,0,32,3,11,1,1
50,0.530786,2,0,57,1,11,1,1
50,0.432298,1,1,40,4,10,1,1
50,0.424667,2,0,17,2,10,1,1
50,0.578397,2,0,131,3,4,3,2
50,0.429515,1,0,97,1,2,3,2
50,0.463073,1,0,137,4,3,3,2
50,0.470157,1,0,135,4,3,1,1
50,0.437946,1,0,47,4,12,1,1
50,0.567691,2,0,59,1,12,3,2
50,0.483507,2,0,23,2,12,1,1
50,0.570038,2,0,110,2,1,3,2
50,0.550631,2,0,67,2,11,3,2
50,0.491731,1,0,19,2,11,1,1
50,0.522766,2,0,39,4,9,1,1
50,0.575949,1,0,85,4,9,2,2
50,0.596277,1,0,45,4,11,1,1
50,0.478831,2,0,51,1,9,2,2
50,0.470669,2,0,9,1,11,1,1
50,0.662695,1,0,115,2,1,2,2
50,0.446484,1,0,125,3,4,3,2
50,0.406965,1,0,1,1,9,1,1
50,0.417667,1,0,88,4,10,3,2
50,0.49175,2,0,29,3,10,1,1
50,0.378691,2,1,18,2,10,1,1
50,0.373825,2,0,41,4,10,1,1
50,0.882372,2,0,132,3,4,1,1
50,0.577612,1,0,84,3,12,0,2
50,0.797765,1,0,99,1,2,2,2
50,0.479841,1,0,10,1,12,1,1
50,0.431806,1,0,26,3,9,1,1
50,0.53671,2,0,122,3,4,2,2
50,0.429992,1,0,141,4,3,3,2
50,0.535107,2,0,62,2,9,0,2
50,0.516289,2,0,134,4,3,2,2
50,0.482046,2,0,82,3,12,0,2
50,0.528889,2,0,116,2,1,3,2
50,0.430473,1,0,38,4,9,1,1
50,0.656192,2,0,60,1,12,1,1
50,0.495865,2,0,107,1,2,1,1
50,0.39073,2,1,81,3,11,1,1
50,0.833898,2,0,140,4,3,3,2
50,0.659053,2,0,8,1,11,1,1
50,0.547743,2,0,136,4,3,3,2
50,0.407113,1,0,69,2,11,1,1
50,0.642058,2,0,79,3,11,2,2
50,0.548234,1,0,144,4,3,2,2
50,0.648615,2,0,96,4,12,0,2
50,0.816202,1,0,109,2,1,2,2
50,0.554267,1,0,92,4,11,1,1
50,1.422627,1,0,106,1,2,3,2
50,0.424458,1,0,127,3,4,1,1
50,0.554579,1,1,124,3,4,1,1
50,1.239327,1,0,130,3,4,3,2
50,0.576731,2,0,86,4,9,2,2
50,0.516426,1,0,34,3,12,1,1
50,0.561383,2,0,13,2,9,1,1
50,0.470505,2,0,22,2,12,1,1
50,0.607198,2,0,129,3,4,2,2
50,0.617681,2,0,21,2,11,1,1
50,0.475251,2,0,5,1,10,1,1
50,0.803599,2,0,113,2,1,2,2
50,0.542089,2,0,30,3,10,1,1
50,0.53904,1,0,4,1,10,1,1
50,0.792427,1,0,121,3,4,2,2
50,0.771819,1,0,31,3,11,1,1
50,0.799747,1,0,78,3,10,3,2
52,0.840877,1,0,102,1,2,3,2
52,0.448984,1,0,101,1,2,1,1
52,0.488925,1,0,12,1,12,1,1
52,0.439998,1,0,18,2,10,3,2
52,0.456055,1,0,44,4,11,0,2
52,0.543781,2,0,136,4,3,1,1
52,0.500769,1,0,61,2,9,1,1
52,0.451441,2,0,36,3,12,2,2
52,0.483676,2,0,114,2,1,3,2
52,0.593538,1,0,142,4,3,3,2
52,0.629008,2,0,72,2,12,1,1
52,0.398091,1,0,116,2,1,2,2
52,0.535124,1,0,20,2,11,0,2
52,0.620301,1,1,128,3,4,3,2
